752,Itaeté,itaete,BA
1372,Jucás,jucas,CE
1718,Choró,choro,CE
2115,Irupi,irupi,ES
2772,Anapurus,anapurus,MA
3084,Pai Pedro,pai-pedro,MG
3492,Frutal,frutal,MG
1,Mâncio Lima,mancio-lima,AC
5065,Faro,faro,PA
5137,Curuá,curua,PA
5364,Caiçara,caicara,PB
5923,Altos,altos,PI
6022,Cocal,cocal,PI
6850,Ivaté,ivate,PR
7136,Assaí,assai,PR
7521,Apodi,apodi,RN
8666,Ibirubá,ibiruba,RS
8852,Inhacorá,inhacora,RS
9883,Ipuã,ipua,SP
10330,Caçapava,cacapava,SP
2,Capixaba,capixaba,AC
3,Epitaciolândia,epitaciolandia,AC
4,Sena Madureira,sena-madureira,AC
5,Rio Branco,rio-branco,AC
6,Manoel Urbano,manoel-urbano,AC
7,Feijó,feijo,AC
8,Jordão,jordao,AC
9,Bujari,bujari,AC
10,Porto Walter,porto-walter,AC
11,Plácido de Castro,placido-de-castro,AC
12,Rodrigues Alves,rodrigues-alves,AC
13,Xapuri,xapuri,AC
14,Brasiléia,brasileia,AC
15,Assis Brasil,assis-brasil,AC
16,Acrelândia,acrelandia,AC
17,Santa Rosa do Purus,santa-rosa-do-purus,AC
18,Tarauacá,tarauaca,AC
19,Senador Guiomard,senador-guiomard,AC
20,Cruzeiro do Sul,cruzeiro-do-sul,AC
21,Porto Acre,porto-acre,AC
22,Marechal Thaumaturgo,marechal-thaumaturgo,AC
23,Campinas (Plácido de Castro),campinas-placido-de-castro,AC
24,Cana Brava (São Sebastião),cana-brava-sao-sebastiao,AL
25,Campestre,campestre,AL
26,Mar Vermelho,mar-vermelho,AL
27,Bonifácio (Palmeira dos Índios),bonifacio-palmeira-dos-indios,AL
28,Batalha,batalha,AL
29,Poço da Pedra (Arapiraca),poco-da-pedra-arapiraca,AL
30,Carrasco (Arapiraca),carrasco-arapiraca,AL
31,Botafogo (Coruripe),botafogo-coruripe,AL
32,Matriz de Camaragibe,matriz-de-camaragibe,AL
33,Minador do Negrão,minador-do-negrao,AL
34,Joaquim Gomes,joaquim-gomes,AL
35,Ouro Branco,ouro-branco,AL
36,Tabocas (Arapiraca),tabocas-arapiraca,AL
37,Porto Real do Colégio,porto-real-do-colegio,AL
38,Taboleiro do Pinto (Rio Largo),taboleiro-do-pinto-rio-largo,AL
39,Quebrangulo,quebrangulo,AL
40,Riacho Fundo de Cima (Palmeira dos Índios),riacho-fundo-de-cima-palmeira-dos-indios,AL
41,Jacaré dos Homens,jacare-dos-homens,AL
42,Sapucaia (Arapiraca),sapucaia-arapiraca,AL
43,Jenipapo (Arapiraca),jenipapo-arapiraca,AL
44,São Miguel dos Campos,sao-miguel-dos-campos,AL
45,Barra de Santo Antônio,barra-de-santo-antonio,AL
46,Estrela de Alagoas,estrela-de-alagoas,AL
47,Flexeiras,flexeiras,AL
48,Carneiros,carneiros,AL
49,Varginha (Arapiraca),varginha-arapiraca,AL
50,Santa Luzia do Norte,santa-luzia-do-norte,AL
51,Cajueiro,cajueiro,AL
52,Lagoa da Areia (Palmeira dos Índios),lagoa-da-areia-palmeira-dos-indios,AL
53,Monteirópolis,monteiropolis,AL
54,Taboquinha (Arapiraca),taboquinha-arapiraca,AL
55,Lagoa do Rancho (Arapiraca),lagoa-do-rancho-arapiraca,AL
56,Roteiro,roteiro,AL
57,Paripueira,paripueira,AL
